Timestamp,ID,Language,AtLeastOneOpenResponse,RolesIncludeDeveloper,YearsOfExperience,YearsOfWorkFromHomeExperience,Fulltime,Coinhabitants,Children,Age,Gender,Education,OrganizationSize,Disabilities,COVIDStatus,Isolation,FR1,FR2,FR3,FR4,FR5,FR6,FR7,FR8,FR9,DP1,DP2,DP3,DP4,DP5,Erg1,Erg2,Erg3,Erg4,Erg5,Erg6,OS1,OS2,OS3,OS4,OS5,OS6,OS7,OS8,OS9,OS10,OS11,OS13,OS12,OS14,OS15,OS16,OS17,OS18,OS19,OS20,OS21,OS22,WHO5B1,WHO5B2,WHO5B3,WHO5B4,WHO5B5,HPQB1,HPQB2,HPQB3,HPQB4,HPQB5,HPQB6,HPQB7,HPQB8,WHO5S1,WHO5S2,WHO5S3,WHO5S4,WHO5S5,HPQS1,HPQS2,HPQS3,HPQS4,HPQS5,HPQS6,HPQS7,HPQS8,PerformanceOthers,PerB1item,PerS1item
19:26.1,1,Thai,0,Software Developer,8,2,1,2,0,4,Male,3,5,0,0,ข้าพเจ้าออกจากบ้านสม่ำเสมอเพื่อไปทำงานหรือผ่อนคลาย แต่ข้าพเจ้ารักษาระยะห่างกับผู้อื่น,ไม่ใช่,ไม่ใช่,อาจจะ/ไม่แน่ใจ,ไม่ใช่,ไม่ใช่,,ไม่ใช่,ใช่,ใช่,เห็นด้วยอย่างยิ่ง,เห็นด้วยอย่างยิ่ง,เห็นด้วยอย่างยิ่ง,เห็นด้วยพอสมควร,เห็นด้วยอย่างยิ่ง,เห็นด้วยอย่างยิ่ง,เห็นด้วยอย่างยิ่ง,เห็นด้วยอย่างยิ่ง,เห็นด้วยอย่างยิ่ง,เห็นด้วยอย่างยิ่ง,เห็นด้วยอย่างยิ่ง,ข้อความนี้จริง,มีประโยชน์หรือน่าจะมีประโยชน์,ข้อความนี้จริง,,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,,,,,,มีประโยชน์หรือน่าจะมีประโยชน์,,มีประโยชน์หรือน่าจะมีประโยชน์,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,เป็นส่วนใหญ่,เป็นส่วนใหญ่,เป็นส่วนใหญ่,เป็นส่วนใหญ่,เป็นส่วนใหญ่,บ่อย,ไม่บ่อย,ไม่บ่อย,ไม่บ่อย,,บางครั้ง,ไม่เคย,ท่านมีประสิทธิภาพดีกว่าคนส่วนใหญ่ที่ทำงานคล้ายๆ กันกับท่าน,มากกว่าครึ่ง,ตลอดเวลา,มากกว่าครึ่ง,มากกว่าครึ่ง,มากกว่าครึ่ง,บ่อย,ไม่บ่อย,บ่อย,ไม่บ่อย,,บางครั้ง,ไม่ทราบ/ไม่แน่ใจ,ท่านมีประสิทธิภาพดีกว่าคนส่วนใหญ่ที่ทำงานคล้ายๆ กันกับท่าน,8,8,8
30:19.1,2,Thai,0,Software Developer,2,8,1,4,0,4,Male,2,2,0,0,ข้าพเจ้าจะออกจากบ้านเพื่อไปทำกิจกรรมที่สำคัญเท่านั้น (เช่น ซื้ออาหาร พบแพทย์/รับการรักษา ออกกำลังกาย),อาจจะ/ไม่แน่ใจ,ไม่ใช่,ไม่ใช่,อาจจะ/ไม่แน่ใจ,อาจจะ/ไม่แน่ใจ,,ใช่,อาจจะ/ไม่แน่ใจ,ไม่ใช่,เห็นด้วยพอสมควร,ไม่เห็นด้วย,เห็นด้วยเล็กน้อย,เห็นด้วยพอสมควร,ไม่รู้/ไม่มีความเห็น,ไม่เห็นด้วย,ค่อนข้างไม่เห็นด้วย,ค่อนข้างไม่เห็นด้วย,เห็นด้วยพอสมควร,ค่อนข้างไม่เห็นด้วย,ไม่เห็นด้วย,,มีประโยชน์หรือน่าจะมีประโยชน์,มีประโยชน์หรือน่าจะมีประโยชน์,มีประโยชน์หรือน่าจะมีประโยชน์,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,มีประโยชน์หรือน่าจะมีประโยชน์,ข้อความนี้จริง,มีประโยชน์หรือน่าจะมีประโยชน์,,,,มีประโยชน์หรือน่าจะมีประโยชน์,,,มีประโยชน์หรือน่าจะมีประโยชน์,มีประโยชน์หรือน่าจะมีประโยชน์,มีประโยชน์หรือน่าจะมีประโยชน์,มีประโยชน์หรือน่าจะมีประโยชน์,มีประโยชน์หรือน่าจะมีประโยชน์,มีประโยชน์หรือน่าจะมีประโยชน์,เป็นส่วนใหญ่,มากกว่าครึ่ง,เป็นส่วนใหญ่,เป็นส่วนใหญ่,มากกว่าครึ่ง,บางครั้ง,บางครั้ง,บางครั้ง,บางครั้ง,,บ่อย,ไม่บ่อย,ท่านมีประสิทธิภาพเท่าๆ กับค่าเฉลี่ยของคนส่วนใหญ่ที่ทำงานคล้ายๆ กันกับท่าน,น้อยกว่าครึ่ง,บางครั้ง,น้อยกว่าครึ่ง,บางครั้ง,บางครั้ง,บางครั้ง,บางครั้ง,บางครั้ง,บางครั้ง,,บางครั้ง,บางครั้ง,ท่านมีประสิทธิภาพด้อยกว่าคนส่วนใหญ่ที่ทำงานคล้ายๆ กันกับท่านเล็กน้อย,5,4,5
30:34.2,3,Thai,0,Software Developer,15,2,1,5,0,4,Male,2,4,0,0,ข้าพเจ้าจะออกจากบ้านเพื่อไปทำกิจกรรมที่สำคัญเท่านั้น (เช่น ซื้ออาหาร พบแพทย์/รับการรักษา ออกกำลังกาย),อาจจะ/ไม่แน่ใจ,ไม่ใช่,ไม่ใช่,ไม่ใช่,ไม่ใช่,,ไม่ใช่,อาจจะ/ไม่แน่ใจ,ใช่,เห็นด้วยพอสมควร,เห็นด้วยเล็กน้อย,เห็นด้วยเล็กน้อย,เห็นด้วยพอสมควร,เห็นด้วยเล็กน้อย,เห็นด้วยพอสมควร,เห็นด้วย,ไม่เห็นด้วยอย่างยิ่ง,เห็นด้วยอย่างยิ่ง,เห็นด้วยพอสมควร,เห็นด้วย,ข้อความนี้จริง,มีประโยชน์หรือน่าจะมีประโยชน์,ข้อความนี้จริง,มีประโยชน์หรือน่าจะมีประโยชน์,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,มีประโยชน์หรือน่าจะมีประโยชน์,ข้อความนี้จริง,มีประโยชน์หรือน่าจะมีประโยชน์,มีประโยชน์หรือน่าจะมีประโยชน์,มีประโยชน์หรือน่าจะมีประโยชน์,,มีประโยชน์หรือน่าจะมีประโยชน์,มีประโยชน์หรือน่าจะมีประโยชน์,มีประโยชน์หรือน่าจะมีประโยชน์,มีประโยชน์หรือน่าจะมีประโยชน์,ข้อความนี้จริง,ข้อความนี้จริง,มีประโยชน์หรือน่าจะมีประโยชน์,มีประโยชน์หรือน่าจะมีประโยชน์,ข้อความนี้จริง,เป็นส่วนใหญ่,เป็นส่วนใหญ่,เป็นส่วนใหญ่,เป็นส่วนใหญ่,เป็นส่วนใหญ่,บางครั้ง,บางครั้ง,ไม่ทราบ/ไม่แน่ใจ,ไม่ทราบ/ไม่แน่ใจ,,ไม่ทราบ/ไม่แน่ใจ,ไม่บ่อย,ท่านมีประสิทธิภาพเท่าๆ กับค่าเฉลี่ยของคนส่วนใหญ่ที่ทำงานคล้ายๆ กันกับท่าน,มากกว่าครึ่ง,มากกว่าครึ่ง,มากกว่าครึ่ง,มากกว่าครึ่ง,เป็นส่วนใหญ่,บางครั้ง,บางครั้ง,ไม่ทราบ/ไม่แน่ใจ,ไม่ทราบ/ไม่แน่ใจ,,ไม่ทราบ/ไม่แน่ใจ,ไม่ทราบ/ไม่แน่ใจ,ท่านมีประสิทธิภาพดีกว่าคนส่วนใหญ่ที่ทำงานคล้ายๆ กันกับท่าน,9,8,8
13:25.4,4,Thai,0,Machine Learning Engineer,8,2,1,1,0,3,Male,2,4,0,0,ข้าพเจ้าจะออกจากบ้านเพื่อไปทำกิจกรรมที่สำคัญเท่านั้น (เช่น ซื้ออาหาร พบแพทย์/รับการรักษา ออกกำลังกาย),ไม่ใช่,ไม่ใช่,ไม่ใช่,อาจจะ/ไม่แน่ใจ,ใช่,,ใช่,อาจจะ/ไม่แน่ใจ,ใช่,เห็นด้วยพอสมควร,เห็นด้วยเล็กน้อย,เห็นด้วยเล็กน้อย,เห็นด้วยพอสมควร,เห็นด้วยพอสมควร,เห็นด้วย,เห็นด้วย,เห็นด้วย,เห็นด้วย,เห็นด้วย,เห็นด้วย,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,มีประโยชน์หรือน่าจะมีประโยชน์,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,มีประโยชน์หรือน่าจะมีประโยชน์,มีประโยชน์หรือน่าจะมีประโยชน์,มีประโยชน์หรือน่าจะมีประโยชน์,,ข้อความนี้จริง,มีประโยชน์หรือน่าจะมีประโยชน์,มีประโยชน์หรือน่าจะมีประโยชน์,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,เป็นส่วนใหญ่,เป็นส่วนใหญ่,เป็นส่วนใหญ่,เป็นส่วนใหญ่,เป็นส่วนใหญ่,บางครั้ง,บางครั้ง,ไม่เคย,บางครั้ง,,บางครั้ง,บางครั้ง,ท่านมีประสิทธิภาพเท่าๆ กับค่าเฉลี่ยของคนส่วนใหญ่ที่ทำงานคล้ายๆ กันกับท่าน,เป็นส่วนใหญ่,ตลอดเวลา,มากกว่าครึ่ง,เป็นส่วนใหญ่,มากกว่าครึ่ง,บางครั้ง,บางครั้ง,ไม่บ่อย,บางครั้ง,,บางครั้ง,บ่อย,ท่านมีประสิทธิภาพเท่าๆ กับค่าเฉลี่ยของคนส่วนใหญ่ที่ทำงานคล้ายๆ กันกับท่าน,8,8,8
23:00.7,5,Thai,0,Software Developer,8,2,1,4,0,3,Not identified,2,3,0,2,ข้าพเจ้าออกจากบ้านสม่ำเสมอเพื่อไปทำงานหรือผ่อนคลาย แต่ข้าพเจ้ารักษาระยะห่างกับผู้อื่น,อาจจะ/ไม่แน่ใจ,อาจจะ/ไม่แน่ใจ,ใช่,ไม่ใช่,ไม่ใช่,,ใช่,ใช่,ใช่,เห็นด้วยพอสมควร,ไม่รู้/ไม่มีความเห็น,เห็นด้วยเล็กน้อย,เห็นด้วยเล็กน้อย,เห็นด้วยพอสมควร,เห็นด้วย,เห็นด้วย,เห็นด้วยพอสมควร,เห็นด้วย,เห็นด้วย,เห็นด้วยพอสมควร,ข้อความนี้จริง,มีประโยชน์หรือน่าจะมีประโยชน์,ข้อความนี้จริง,ข้อความนี้จริง,มีประโยชน์หรือน่าจะมีประโยชน์,ข้อความนี้จริง,ข้อความนี้จริง,มีประโยชน์หรือน่าจะมีประโยชน์,ข้อความนี้จริง,มีประโยชน์หรือน่าจะมีประโยชน์,ข้อความนี้จริง,,,ข้อความนี้จริง,มีประโยชน์หรือน่าจะมีประโยชน์,มีประโยชน์หรือน่าจะมีประโยชน์,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,ไม่เคย,ไม่เคย,บางครั้ง,ไม่เคย,บางครั้ง,ไม่บ่อย,ไม่บ่อย,บางครั้ง,บางครั้ง,,บ่อย,บ่อย,ท่านมีประสิทธิภาพเท่าๆ กับค่าเฉลี่ยของคนส่วนใหญ่ที่ทำงานคล้ายๆ กันกับท่าน,เป็นส่วนใหญ่,เป็นส่วนใหญ่,มากกว่าครึ่ง,เป็นส่วนใหญ่,บางครั้ง,บ่อย,ไม่บ่อย,บางครั้ง,บางครั้ง,,ไม่บ่อย,ไม่บ่อย,ท่านมีประสิทธิภาพดีกว่าคนส่วนใหญ่ที่ทำงานคล้ายๆ กันกับท่าน,7,8,8
52:13.7,8,Thai,0,Software Developer,8,0.5,1,2,0,3,Female,3,3,0,4,ข้าพเจ้าจะออกจากบ้านเพื่อไปทำกิจกรรมที่สำคัญเท่านั้น (เช่น ซื้ออาหาร พบแพทย์/รับการรักษา ออกกำลังกาย),อาจจะ/ไม่แน่ใจ,ไม่ใช่,ไม่ใช่,ไม่ใช่,ไม่ใช่,,อาจจะ/ไม่แน่ใจ,ไม่ใช่,ใช่,เห็นด้วยพอสมควร,เห็นด้วยเล็กน้อย,เห็นด้วยเล็กน้อย,เห็นด้วยพอสมควร,เห็นด้วยพอสมควร,เห็นด้วย,เห็นด้วย,เห็นด้วย,เห็นด้วย,เห็นด้วย,เห็นด้วยพอสมควร,ข้อความนี้จริง,,ข้อความนี้จริง,มีประโยชน์หรือน่าจะมีประโยชน์,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,,ข้อความนี้จริง,,ข้อความนี้จริง,,,ข้อความนี้จริง,,,,ข้อความนี้จริง,ข้อความนี้จริง,,ข้อความนี้จริง,ข้อความนี้จริง,บางครั้ง,มากกว่าครึ่ง,มากกว่าครึ่ง,น้อยกว่าครึ่ง,มากกว่าครึ่ง,บ่อย,ไม่บ่อย,ไม่บ่อย,ไม่บ่อย,,บ่อย,บางครั้ง,ท่านมีประสิทธิภาพดีกว่าคนส่วนใหญ่ที่ทำงานคล้ายๆ กันกับท่านเล็กน้อย,เป็นส่วนใหญ่,เป็นส่วนใหญ่,มากกว่าครึ่ง,เป็นส่วนใหญ่,มากกว่าครึ่ง,บ่อย,บ่อย,บางครั้ง,ไม่บ่อย,,ไม่บ่อย,บางครั้ง,ท่านมีประสิทธิภาพดีกว่าคนส่วนใหญ่ที่ทำงานคล้ายๆ กันกับท่าน,9,7,10
05:24.5,9,Thai,0,Data Op,2,2,1,1,0,3,Male,3,2,0,2,ข้าพเจ้าออกจากบ้านสม่ำเสมอเพื่อไปทำงานหรือผ่อนคลาย แต่ข้าพเจ้ารักษาระยะห่างกับผู้อื่น,อาจจะ/ไม่แน่ใจ,ไม่ใช่,ใช่,ไม่ใช่,ไม่ใช่,,อาจจะ/ไม่แน่ใจ,ใช่,ใช่,เห็นด้วยอย่างยิ่ง,เห็นด้วยอย่างยิ่ง,เห็นด้วยอย่างยิ่ง,เห็นด้วยอย่างยิ่ง,เห็นด้วยอย่างยิ่ง,เห็นด้วยพอสมควร,เห็นด้วยพอสมควร,เห็นด้วยอย่างยิ่ง,เห็นด้วยอย่างยิ่ง,เห็นด้วยอย่างยิ่ง,เห็นด้วยอย่างยิ่ง,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,มีประโยชน์หรือน่าจะมีประโยชน์,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,มีประโยชน์หรือน่าจะมีประโยชน์,ข้อความนี้จริง,ข้อความนี้จริง,,มีประโยชน์หรือน่าจะมีประโยชน์,มีประโยชน์หรือน่าจะมีประโยชน์,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,ตลอดเวลา,ตลอดเวลา,ตลอดเวลา,ตลอดเวลา,เป็นส่วนใหญ่,ตลอดเวลา,ตลอดเวลา,ตลอดเวลา,ตลอดเวลา,,ไม่บ่อย,บ่อย,ท่านมีประสิทธิภาพเท่าๆ กับค่าเฉลี่ยของคนส่วนใหญ่ที่ทำงานคล้ายๆ กันกับท่าน,ตลอดเวลา,ตลอดเวลา,ตลอดเวลา,ตลอดเวลา,ตลอดเวลา,บ่อย,ไม่เคย,ไม่บ่อย,ไม่เคย,,,ไม่เคย,ท่านมีประสิทธิภาพดีกว่าคนส่วนใหญ่ที่ทำงานคล้ายๆ กันกับท่านมาก,9,10,9
24:27.9,10,Thai,0,Software Developer,8,2,1,3,0,4,Female,2,2,0,0,ข้าพเจ้าจะออกจากบ้านเพื่อไปทำกิจกรรมที่สำคัญเท่านั้น (เช่น ซื้ออาหาร พบแพทย์/รับการรักษา ออกกำลังกาย),ไม่ใช่,ไม่ใช่,ใช่,ไม่ใช่,ใช่,,ไม่ใช่,ใช่,ใช่,ไม่เห็นด้วย,ไม่เห็นด้วย,ไม่เห็นด้วย,ไม่เห็นด้วย,ไม่เห็นด้วย,ไม่เห็นด้วย,เห็นด้วย,ค่อนข้างไม่เห็นด้วย,เห็นด้วย,ไม่เห็นด้วย,ไม่เห็นด้วย,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,,,ข้อความนี้จริง,ข้อความนี้จริง,,ข้อความนี้จริง,,,,,,,,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,,ข้อความนี้จริง,เป็นส่วนใหญ่,เป็นส่วนใหญ่,เป็นส่วนใหญ่,น้อยกว่าครึ่ง,เป็นส่วนใหญ่,บางครั้ง,ไม่บ่อย,บางครั้ง,ไม่บ่อย,,ไม่บ่อย,ไม่บ่อย,ท่านมีประสิทธิภาพด้อยกว่าคนส่วนใหญ่ที่ทำงานคล้ายๆ กันกับท่าน,เป็นส่วนใหญ่,เป็นส่วนใหญ่,น้อยกว่าครึ่ง,ตลอดเวลา,เป็นส่วนใหญ่,บางครั้ง,ไม่บ่อย,บ่อย,บางครั้ง,,บ่อย,ไม่บ่อย,ท่านมีประสิทธิภาพด้อยกว่าคนส่วนใหญ่ที่ทำงานคล้ายๆ กันกับท่าน,8,8,8
04:12.5,12,Thai,0,Product or Project Manager,8,2,1,5,0,3,Female,3,4,0,0,ข้าพเจ้าจะออกจากบ้านเพื่อไปทำกิจกรรมที่สำคัญเท่านั้น (เช่น ซื้ออาหาร พบแพทย์/รับการรักษา ออกกำลังกาย),อาจจะ/ไม่แน่ใจ,ใช่,ใช่,อาจจะ/ไม่แน่ใจ,ไม่ใช่,,ไม่ใช่,อาจจะ/ไม่แน่ใจ,ใช่,เห็นด้วยพอสมควร,เห็นด้วยพอสมควร,เห็นด้วยพอสมควร,เห็นด้วยอย่างยิ่ง,เห็นด้วยเล็กน้อย,เห็นด้วย,เห็นด้วย,เห็นด้วย,เห็นด้วยอย่างยิ่ง,เห็นด้วยอย่างยิ่ง,เห็นด้วยอย่างยิ่ง,มีประโยชน์หรือน่าจะมีประโยชน์,มีประโยชน์หรือน่าจะมีประโยชน์,ข้อความนี้จริง,มีประโยชน์หรือน่าจะมีประโยชน์,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,มีประโยชน์หรือน่าจะมีประโยชน์,ข้อความนี้จริง,มีประโยชน์หรือน่าจะมีประโยชน์,มีประโยชน์หรือน่าจะมีประโยชน์,มีประโยชน์หรือน่าจะมีประโยชน์,,ข้อความนี้จริง,มีประโยชน์หรือน่าจะมีประโยชน์,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,มีประโยชน์หรือน่าจะมีประโยชน์,มีประโยชน์หรือน่าจะมีประโยชน์,มีประโยชน์หรือน่าจะมีประโยชน์,เป็นส่วนใหญ่,มากกว่าครึ่ง,น้อยกว่าครึ่ง,ไม่เคย,น้อยกว่าครึ่ง,บ่อย,ไม่บ่อย,บางครั้ง,บางครั้ง,,ไม่บ่อย,ไม่เคย,ท่านมีประสิทธิภาพดีกว่าคนส่วนใหญ่ที่ทำงานคล้ายๆ กันกับท่านเล็กน้อย,มากกว่าครึ่ง,เป็นส่วนใหญ่,มากกว่าครึ่ง,เป็นส่วนใหญ่,บางครั้ง,บางครั้ง,บางครั้ง,บ่อย,บางครั้ง,,บ่อย,บ่อย,ท่านมีประสิทธิภาพดีกว่าคนส่วนใหญ่ที่ทำงานคล้ายๆ กันกับท่าน,8,8,8
28:14.3,13,Thai,0,Analyst,15,2,1,7,2,5,Male,3,4,0,0,ข้าพเจ้าจะออกจากบ้านเพื่อไปทำกิจกรรมที่สำคัญเท่านั้น (เช่น ซื้ออาหาร พบแพทย์/รับการรักษา ออกกำลังกาย),ไม่ใช่,ไม่ใช่,อาจจะ/ไม่แน่ใจ,ไม่ใช่,ไม่ใช่,,ไม่ใช่,ใช่,ใช่,เห็นด้วยพอสมควร,เห็นด้วยพอสมควร,เห็นด้วยพอสมควร,เห็นด้วยพอสมควร,เห็นด้วยพอสมควร,ค่อนข้างไม่เห็นด้วย,เห็นด้วยพอสมควร,เห็นด้วยพอสมควร,เห็นด้วยพอสมควร,เห็นด้วย,เห็นด้วย,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,มีประโยชน์หรือน่าจะมีประโยชน์,ข้อความนี้จริง,มีประโยชน์หรือน่าจะมีประโยชน์,มีประโยชน์หรือน่าจะมีประโยชน์,มีประโยชน์หรือน่าจะมีประโยชน์,,มีประโยชน์หรือน่าจะมีประโยชน์,มีประโยชน์หรือน่าจะมีประโยชน์,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,ข้อความนี้จริง,มีประโยชน์หรือน่าจะมีประโยชน์,มากกว่าครึ่ง,เป็นส่วนใหญ่,น้อยกว่าครึ่ง,น้อยกว่าครึ่ง,น้อยกว่าครึ่ง,บ่อย,ไม่บ่อย,ไม่เคย,ไม่บ่อย,,ไม่บ่อย,ไม่เคย,ท่านมีประสิทธิภาพดีกว่าคนส่วนใหญ่ที่ทำงานคล้ายๆ กันกับท่าน,เป็นส่วนใหญ่,เป็นส่วนใหญ่,เป็นส่วนใหญ่,เป็นส่วนใหญ่,มากกว่าครึ่ง,บ่อย,ไม่บ่อย,ไม่เคย,ไม่บ่อย,,ไม่บ่อย,ไม่เคย,ท่านมีประสิทธิภาพดีกว่าคนส่วนใหญ่ที่ทำงานคล้ายๆ กันกับท่าน,9,9,9
